"seqnames"	"start"	"end"	"annotation"	"SYMBOL"	"distanceToTSS"	"condition"
"54"	"chr1"	82866660	82867054	"Intron"	"Agfg1"	-12954	"bCAT_APC"
"55"	"chr1"	82973785	82974377	"Distal Intergenic"	"Slc19a3"	64071	"bCAT_APC"
"56"	"chr1"	84839256	84839543	"Promoter"	"Trip12"	0	"bCAT_APC"
"57"	"chr1"	86007855	86008054	"Distal Intergenic"	"Spata3"	-13888	"bCAT_APC"
"58"	"chr1"	86442426	86442850	"Distal Intergenic"	"Tex44"	16097	"bCAT_APC"
"59"	"chr1"	86525454	86525672	"Promoter"	"Ptma"	-1064	"bCAT_APC"
"60"	"chr1"	87174370	87175324	"Distal Intergenic"	"Prss56"	-7990	"bCAT_APC"
"61"	"chr1"	87175528	87175768	"Distal Intergenic"	"Prss56"	-7546	"bCAT_APC"
"62"	"chr1"	87554277	87554629	"Intron"	"Ngef"	19241	"bCAT_APC"
"63"	"chr1"	87579024	87579776	"5' UTR"	"Neu2"	-4246	"bCAT_APC"
"64"	"chr1"	87779237	87779529	"Promoter"	"Atg16l1"	779	"bCAT_APC"
"65"	"chr1"	88277231	88277672	"Promoter"	"Hjurp"	0	"bCAT_APC"
"66"	"chr1"	88475198	88475787	"Distal Intergenic"	"Glrp1"	34279	"bCAT_APC"
"67"	"chr1"	88559241	88559711	"Intron"	"Gm19589"	7724	"bCAT_APC"
"68"	"chr1"	88704968	88705404	"Distal Intergenic"	"Arl4c"	-2777	"bCAT_APC"
"69"	"chr1"	88746309	88746650	"Distal Intergenic"	"Platr5"	-8240	"bCAT_APC"
"70"	"chr1"	88929385	88929717	"Distal Intergenic"	"1700067G17Rik"	-86396	"bCAT_APC"
"71"	"chr1"	91023665	91024184	"Intron"	"Lrrfip1"	24938	"bCAT_APC"
"72"	"chr1"	93159993	93160627	"Promoter"	"2310007B03Rik"	243	"bCAT_APC"
"73"	"chr1"	93755231	93755502	"Promoter"	"Atg4b"	198	"bCAT_APC"
"74"	"chr1"	95316936	95317190	"Intron"	"Fam174a"	3308	"bCAT_APC"
"75"	"chr1"	105663464	105664056	"Promoter"	"2310035C23Rik"	0	"bCAT_APC"
"76"	"chr1"	106513302	106513640	"Distal Intergenic"	"Mir3473f"	32991	"bCAT_APC"
"77"	"chr1"	107414525	107414786	"Distal Intergenic"	"Serpinb7"	-7903	"bCAT_APC"
"78"	"chr1"	118458916	118459336	"Promoter"	"2900060B14Rik"	0	"bCAT_APC"
"79"	"chr1"	118880957	118881211	"Intron"	"Mir6346"	-73009	"bCAT_APC"
"80"	"chr1"	119913048	119913294	"Promoter"	"Tmem177"	0	"bCAT_APC"
"81"	"chr1"	127233012	127233581	"Intron"	"Mgat5"	28026	"bCAT_APC"
"82"	"chr1"	127796376	127796642	"Promoter"	"Ccnt2"	0	"bCAT_APC"
"83"	"chr1"	127987117	127987330	"3' UTR"	"Zranb3"	115141	"bCAT_APC"
"84"	"chr1"	128244387	128244772	"Promoter"	"Ubxn4"	206	"bCAT_APC"
"85"	"chr1"	128535707	128536077	"Distal Intergenic"	"Cxcr4"	56216	"bCAT_APC"
"86"	"chr1"	128659071	128659468	"Distal Intergenic"	"Cxcr4"	-66772	"bCAT_APC"
"87"	"chr1"	130524872	130525107	"Distal Intergenic"	"Cd55"	-62128	"bCAT_APC"
"88"	"chr1"	130683747	130684116	"Promoter"	"C4bp-ps1"	-2176	"bCAT_APC"
"89"	"chr1"	130737348	130738542	"Promoter"	"AA986860"	-1730	"bCAT_APC"
"90"	"chr1"	130761633	130761876	"Distal Intergenic"	"AA986860"	21361	"bCAT_APC"
"91"	"chr1"	130770308	130770738	"Distal Intergenic"	"AA986860"	30036	"bCAT_APC"
"92"	"chr1"	131122573	131122841	"Distal Intergenic"	"Dyrk3"	15393	"bCAT_APC"
"93"	"chr1"	131123043	131124299	"Distal Intergenic"	"Dyrk3"	13935	"bCAT_APC"
"94"	"chr1"	131461044	131461466	"Intron"	"Srgap2"	64127	"bCAT_APC"
"95"	"chr1"	131821140	131821382	"Distal Intergenic"	"Slc41a1"	-6630	"bCAT_APC"
"96"	"chr1"	132008206	132008754	"Promoter"	"Elk4"	601	"bCAT_APC"
"97"	"chr1"	133012429	133012863	"5' UTR"	"Mdm4"	12553	"bCAT_APC"
"98"	"chr1"	133025556	133025809	"Promoter"	"Mdm4"	-140	"bCAT_APC"
"99"	"chr1"	133057572	133058099	"Intron"	"Pik3c2b"	11560	"bCAT_APC"
"100"	"chr1"	133434477	133435071	"Distal Intergenic"	"Sox13"	-10265	"bCAT_APC"
"101"	"chr1"	133696069	133696306	"Distal Intergenic"	"Lax1"	-5961	"bCAT_APC"
"102"	"chr1"	134344709	134345389	"Downstream"	"Ppfia4"	-11781	"bCAT_APC"
"103"	"chr1"	134554414	134554683	"Distal Intergenic"	"Mgat4e"	-4732	"bCAT_APC"
"104"	"chr1"	134875397	134875997	"Exon"	"Ppp1r12b"	-28977	"bCAT_APC"
"105"	"chr1"	135131619	135131851	"Promoter"	"Ptprv"	724	"bCAT_APC"
"106"	"chr1"	135248349	135248642	"Distal Intergenic"	"Elf3"	9830	"bCAT_APC"
"107"	"chr1"	135280694	135281076	"Intron"	"Rnpep"	3008	"bCAT_APC"
"108"	"chr1"	135281138	135282130	"Promoter"	"Rnpep"	1954	"bCAT_APC"
"109"	"chr1"	135807575	135808294	"Exon"	"Tnni1"	4981	"bCAT_APC"
"110"	"chr1"	136104542	136105025	"Exon"	"Gm15850"	26158	"bCAT_APC"
"111"	"chr1"	136138197	136138646	"Intron"	"Kif21b"	6796	"bCAT_APC"
"112"	"chr1"	136695007	136695321	"Promoter"	"Platr22"	-890	"bCAT_APC"
"113"	"chr1"	140226644	140226895	"Distal Intergenic"	"Kcnt2"	-19362	"bCAT_APC"
"114"	"chr1"	142740393	142740786	"Distal Intergenic"	"B3galt2"	-899911	"bCAT_APC"
"115"	"chr1"	151025045	151025676	"Distal Intergenic"	"Hmcn1"	-31610	"bCAT_APC"
"116"	"chr1"	151727513	151727975	"Distal Intergenic"	"Edem3"	-27399	"bCAT_APC"
"117"	"chr1"	153040158	153040412	"Intron"	"Nmnat2"	85057	"bCAT_APC"
"118"	"chr1"	153274656	153275310	"Intron"	"Lamc1"	57476	"bCAT_APC"
"119"	"chr1"	153320744	153321104	"Intron"	"Lamc1"	11682	"bCAT_APC"
"120"	"chr1"	153862690	153863209	"Intron"	"Teddm1b"	-11136	"bCAT_APC"
"121"	"chr1"	154676138	154676350	"Intron"	"Cacna1e"	49570	"bCAT_APC"
"122"	"chr1"	156471419	156472341	"Promoter"	"Soat1"	1987	"bCAT_APC"
"123"	"chr1"	156732114	156732726	"Distal Intergenic"	"Fam20b"	-13204	"bCAT_APC"
"124"	"chr1"	156938652	156938890	"Promoter"	"Ralgps2"	0	"bCAT_APC"
"125"	"chr1"	157079707	157079915	"Distal Intergenic"	"Tex35"	28735	"bCAT_APC"
"126"	"chr1"	157254004	157254384	"Intron"	"Tex35"	-145324	"bCAT_APC"
"127"	"chr1"	160213019	160213470	"Promoter"	"Cacybp"	-127	"bCAT_APC"
"128"	"chr1"	160397239	160397450	"Intron"	"Rabgap1l"	-45668	"bCAT_APC"
"129"	"chr1"	161070833	161071697	"Promoter"	"Cenpl"	66	"bCAT_APC"
"130"	"chr1"	162570358	162570688	"Promoter"	"Vamp4"	-35	"bCAT_APC"
"131"	"chr1"	162867311	162867701	"Promoter"	"Fmo1"	-763	"bCAT_APC"
"132"	"chr1"	164214578	164215623	"Intron"	"Slc19a2"	-33423	"bCAT_APC"
"133"	"chr1"	164252456	164253359	"Intron"	"Slc19a2"	3410	"bCAT_APC"
"134"	"chr1"	164470936	164471349	"Distal Intergenic"	"Atp1b1"	-12581	"bCAT_APC"
"135"	"chr1"	164712645	164713099	"Distal Intergenic"	"Dpt"	-83633	"bCAT_APC"
"136"	"chr1"	165617108	165617600	"Intron"	"Mpzl1"	-15244	"bCAT_APC"
"137"	"chr1"	165617663	165617876	"Intron"	"Mpzl1"	-15799	"bCAT_APC"
"138"	"chr1"	165840857	165841174	"Intron"	"Pou2f1"	39301	"bCAT_APC"
"139"	"chr1"	166155133	166155370	"Intron"	"Gpa33"	24673	"bCAT_APC"
"140"	"chr1"	168433608	168434012	"Promoter"	"Pbx1"	-1439	"bCAT_APC"
"141"	"chr1"	168531394	168531672	"Distal Intergenic"	"Mir6348"	40751	"bCAT_APC"
"142"	"chr1"	171204289	171204709	"Distal Intergenic"	"Pcp4l1"	-7254	"bCAT_APC"
"143"	"chr1"	171356857	171357145	"Intron"	"Klhdc9"	3653	"bCAT_APC"
"144"	"chr1"	172201882	172202429	"Intron"	"Pea15a"	4352	"bCAT_APC"
"145"	"chr1"	172291747	172292140	"5' UTR"	"Atp1a2"	5924	"bCAT_APC"
"146"	"chr1"	172309954	172310252	"Promoter"	"Igsf8"	-2115	"bCAT_APC"
"147"	"chr1"	172500058	172500394	"Promoter"	"Tagln2"	0	"bCAT_APC"
"148"	"chr1"	178190609	178190969	"Intron"	"Desi2"	3192	"bCAT_APC"
"149"	"chr1"	178317840	178318673	"Promoter"	"Cox20"	-480	"bCAT_APC"
"150"	"chr1"	178527893	178528813	"Promoter"	"Kif26b"	-312	"bCAT_APC"
"151"	"chr1"	178530783	178531790	"Promoter"	"Kif26b"	1658	"bCAT_APC"
"152"	"chr1"	178599734	178601225	"Intron"	"Kif26b"	70609	"bCAT_APC"
"153"	"chr1"	178632016	178632256	"Intron"	"Kif26b"	102891	"bCAT_APC"
"154"	"chr1"	179722806	179723568	"Distal Intergenic"	"Ahctf1"	30504	"bCAT_APC"
"155"	"chr1"	181273933	181274461	"Distal Intergenic"	"Wdr26"	-61955	"bCAT_APC"
"156"	"chr1"	184016393	184016619	"Distal Intergenic"	"1700056E22Rik"	17379	"bCAT_APC"
"157"	"chr1"	185616036	185616437	"Distal Intergenic"	"5033404E19Rik"	118730	"bCAT_APC"
"158"	"chr1"	185616972	185617317	"Distal Intergenic"	"5033404E19Rik"	119666	"bCAT_APC"
"159"	"chr1"	187896917	187897336	"Intron"	"Esrrg"	-100491	"bCAT_APC"
"160"	"chr1"	187900888	187901539	"Intron"	"Esrrg"	-96288	"bCAT_APC"
"161"	"chr1"	188330564	188331265	"Intron"	"Ush2a"	67726	"bCAT_APC"
"162"	"chr1"	189056160	189056432	"Distal Intergenic"	"Kctd3"	-48320	"bCAT_APC"
"163"	"chr1"	189830654	189831356	"Intron"	"Ptpn14"	-13687	"bCAT_APC"
"164"	"chr1"	189875352	189875868	"3' UTR"	"Smyd2"	13134	"bCAT_APC"
"165"	"chr1"	190214687	190215310	"Intron"	"Prox1"	-44007	"bCAT_APC"
"166"	"chr1"	190374998	190375226	"Distal Intergenic"	"Prox1"	-204318	"bCAT_APC"
"167"	"chr1"	190532475	190534004	"Distal Intergenic"	"Rps6kc1"	300094	"bCAT_APC"
"168"	"chr1"	191184327	191184543	"Promoter"	"Atf3"	-994	"bCAT_APC"
"169"	"chr1"	191259178	191259955	"Distal Intergenic"	"Atf3"	-41139	"bCAT_APC"
"170"	"chr1"	191277732	191278020	"Distal Intergenic"	"Nenf"	40098	"bCAT_APC"
"171"	"chr1"	191906141	191906429	"Promoter"	"Slc30a1"	-352	"bCAT_APC"
"172"	"chr1"	192293085	192293457	"Intron"	"Kcnh1"	102308	"bCAT_APC"
"173"	"chr1"	192834993	192835291	"Distal Intergenic"	"1700065J18Rik"	-6414	"bCAT_APC"
"174"	"chr1"	194978154	194978402	"Promoter"	"Gm16897"	-1195	"bCAT_APC"
"175"	"chr1"	195012946	195013160	"Distal Intergenic"	"A330023F24Rik"	-4239	"bCAT_APC"
"176"	"chr10"	3973438	3973765	"Promoter"	"Mthfd1l"	363	"bCAT_APC"
"177"	"chr10"	4620792	4621207	"Intron"	"Esr1"	8803	"bCAT_APC"
"178"	"chr10"	7681592	7681970	"Promoter"	"Lats1"	383	"bCAT_APC"
"179"	"chr10"	8213891	8214477	"Intron"	"Ust"	87765	"bCAT_APC"
"180"	"chr10"	12451060	12451309	"Intron"	"Utrn"	163582	"bCAT_APC"
"181"	"chr10"	12869099	12869394	"Promoter"	"Utrn"	0	"bCAT_APC"
"182"	"chr10"	16961083	16961347	"Intron"	"Gm20125"	134435	"bCAT_APC"
"183"	"chr10"	17408121	17408441	"Distal Intergenic"	"Gm20125"	-312339	"bCAT_APC"
"184"	"chr10"	18407295	18407868	"Promoter"	"Nhsl1"	0	"bCAT_APC"
"185"	"chr10"	18506677	18506878	"Intron"	"Nhsl1"	36696	"bCAT_APC"
"186"	"chr10"	20313072	20313370	"Promoter"	"Bclaf1"	603	"bCAT_APC"
"187"	"chr10"	21092941	21093297	"Distal Intergenic"	"Myb"	49795	"bCAT_APC"
"188"	"chr10"	21687165	21687715	"Distal Intergenic"	"Gm5420"	-3130	"bCAT_APC"
"189"	"chr10"	24023834	24024131	"Distal Intergenic"	"Taar7d"	-3091	"bCAT_APC"
"190"	"chr10"	25333682	25333938	"Distal Intergenic"	"Epb41l2"	-25860	"bCAT_APC"
"191"	"chr10"	25918117	25918455	"Distal Intergenic"	"4930401C15Rik"	-80680	"bCAT_APC"
"192"	"chr10"	26494465	26494747	"Distal Intergenic"	"L3mbtl3"	-118494	"bCAT_APC"
"193"	"chr10"	27013062	27013354	"Intron"	"Lama2"	198900	"bCAT_APC"
"194"	"chr10"	28272110	28272422	"Intron"	"Ptprk"	197290	"bCAT_APC"
"195"	"chr10"	31494296	31494615	"Distal Intergenic"	"Tpd52l1"	-48375	"bCAT_APC"
"196"	"chr10"	36974726	36975293	"Promoter"	"Hdac2"	182	"bCAT_APC"
"197"	"chr10"	37422835	37423153	"Distal Intergenic"	"Marcks"	-283909	"bCAT_APC"
"198"	"chr10"	39171294	39171621	"Distal Intergenic"	"Wisp3"	-7500	"bCAT_APC"
"199"	"chr10"	40177555	40177983	"Distal Intergenic"	"Slc16a10"	-35301	"bCAT_APC"
"200"	"chr10"	40246937	40247418	"Promoter"	"Rpf2"	0	"bCAT_APC"
"201"	"chr10"	40302210	40302871	"Promoter"	"Amd1"	-22	"bCAT_APC"
"202"	"chr10"	40492034	40492476	"Distal Intergenic"	"Slc22a16"	-77886	"bCAT_APC"
"203"	"chr10"	42464206	42464610	"Intron"	"Afg1l"	13955	"bCAT_APC"
"204"	"chr10"	42714697	42715217	"Distal Intergenic"	"Ostm1"	35781	"bCAT_APC"
"205"	"chr10"	42723486	42724223	"Distal Intergenic"	"Sec63"	-37273	"bCAT_APC"
"206"	"chr10"	42829103	42829379	"3' UTR"	"Scml4"	-31133	"bCAT_APC"
"207"	"chr10"	42940558	42941546	"Promoter"	"Scml4"	677	"bCAT_APC"
"208"	"chr10"	43666259	43666500	"Distal Intergenic"	"F830002L21Rik"	72832	"bCAT_APC"
"209"	"chr10"	43783206	43783741	"Distal Intergenic"	"1700027J07Rik"	37048	"bCAT_APC"
"210"	"chr10"	44448237	44448457	"Intron"	"Prdm1"	10291	"bCAT_APC"
"211"	"chr10"	44576757	44577188	"Distal Intergenic"	"Prdm1"	-48256	"bCAT_APC"
"212"	"chr10"	44861900	44862848	"Distal Intergenic"	"Prep"	-204366	"bCAT_APC"
"213"	"chr10"	50584682	50584956	"Distal Intergenic"	"Ascc3"	-7713	"bCAT_APC"
"214"	"chr10"	59241223	59241549	"Distal Intergenic"	"Sowahc"	19301	"bCAT_APC"
"215"	"chr10"	59879926	59880164	"Promoter"	"Dnajb12"	335	"bCAT_APC"
"216"	"chr10"	59972269	59972930	"Distal Intergenic"	"Ddit4"	-20499	"bCAT_APC"
"217"	"chr10"	60150919	60151281	"Distal Intergenic"	"Mir6906"	24143	"bCAT_APC"
"218"	"chr10"	62340629	62340914	"Promoter"	"Hk1os"	22	"bCAT_APC"
"219"	"chr10"	66920438	66921049	"Distal Intergenic"	"Gm31763"	-84026	"bCAT_APC"
"220"	"chr10"	66953455	66953701	"Distal Intergenic"	"Gm31763"	-51374	"bCAT_APC"
"221"	"chr10"	68141040	68141413	"Intron"	"Arid5b"	-4414	"bCAT_APC"
"222"	"chr10"	68231472	68231686	"Intron"	"Arid5b"	11672	"bCAT_APC"
"223"	"chr10"	68277192	68277503	"Promoter"	"Arid5b"	1223	"bCAT_APC"
"224"	"chr10"	68345417	68345827	"Distal Intergenic"	"4930545H06Rik"	-24275	"bCAT_APC"
"225"	"chr10"	68354540	68355406	"Distal Intergenic"	"4930545H06Rik"	-33398	"bCAT_APC"
"226"	"chr10"	68355568	68356129	"Distal Intergenic"	"4930545H06Rik"	-34426	"bCAT_APC"
"227"	"chr10"	68360815	68361289	"Distal Intergenic"	"4930545H06Rik"	-39673	"bCAT_APC"
"228"	"chr10"	69924988	69925365	"Promoter"	"Ank3"	-167	"bCAT_APC"
"229"	"chr10"	70039924	70040139	"Distal Intergenic"	"Ank3"	49989	"bCAT_APC"
"230"	"chr10"	70350008	70350271	"Distal Intergenic"	"Slc16a9"	83029	"bCAT_APC"
"231"	"chr10"	75004165	75004437	"Intron"	"Gnaz"	13324	"bCAT_APC"
"232"	"chr10"	77203675	77204014	"Distal Intergenic"	"Col18a1"	-37145	"bCAT_APC"
"233"	"chr10"	77671331	77671686	"Distal Intergenic"	"Tspear"	-14883	"bCAT_APC"
"234"	"chr10"	77677287	77678306	"Distal Intergenic"	"Tspear"	-8263	"bCAT_APC"
"235"	"chr10"	78371567	78372322	"Distal Intergenic"	"Agpat3"	-19125	"bCAT_APC"
"236"	"chr10"	79669092	79669655	"Promoter"	"Tpgs1"	0	"bCAT_APC"
"237"	"chr10"	79701515	79701863	"Promoter"	"Bsg"	-2495	"bCAT_APC"
"238"	"chr10"	79925272	79926420	"Promoter"	"Arid3a"	-623	"bCAT_APC"
"239"	"chr10"	79928020	79928619	"Promoter"	"Arid3a"	679	"bCAT_APC"
"240"	"chr10"	79937046	79937283	"Intron"	"Arid3a"	-8996	"bCAT_APC"
"241"	"chr10"	80148134	80148444	"Promoter"	"Midn"	0	"bCAT_APC"
"242"	"chr10"	80386282	80386645	"Promoter"	"Mex3d"	1006	"bCAT_APC"
"243"	"chr10"	80434270	80434553	"Promoter"	"Tcf3"	-617	"bCAT_APC"
"244"	"chr10"	80434693	80435054	"Promoter"	"Tcf3"	-1040	"bCAT_APC"
"245"	"chr10"	80966346	80967084	"Intron"	"Gng7"	34281	"bCAT_APC"
"246"	"chr10"	81570765	81571141	"Distal Intergenic"	"Tle2"	-4146	"bCAT_APC"
"247"	"chr10"	82623284	82623641	"Promoter"	"1190007I07Rik"	-56	"bCAT_APC"
"248"	"chr10"	82971633	82971890	"Distal Intergenic"	"Chst11"	-13607	"bCAT_APC"
"249"	"chr10"	82990675	82991186	"Intron"	"Chst11"	4926	"bCAT_APC"
"250"	"chr10"	83374331	83374630	"Distal Intergenic"	"D10Wsu102e"	14110	"bCAT_APC"
"251"	"chr10"	85829179	85829383	"Distal Intergenic"	"Pwp1"	-42448	"bCAT_APC"
"252"	"chr10"	86685250	86685548	"Promoter"	"1810014B01Rik"	0	"bCAT_APC"
"253"	"chr10"	86706327	86706586	"Promoter"	"Ttc41"	516	"bCAT_APC"
"254"	"chr10"	92595523	92596098	"Distal Intergenic"	"Nedd1"	126320	"bCAT_APC"
"255"	"chr10"	93421996	93422479	"Distal Intergenic"	"Mir7688"	-10628	"bCAT_APC"
"256"	"chr10"	95105363	95105767	"Distal Intergenic"	"Gm29684"	40058	"bCAT_APC"
"257"	"chr10"	95112476	95113775	"Distal Intergenic"	"Gm29684"	32050	"bCAT_APC"
"258"	"chr10"	95146518	95146805	"Promoter"	"Gm29684"	-693	"bCAT_APC"
"259"	"chr10"	95324005	95324281	"Promoter"	"Cradd"	0	"bCAT_APC"
"260"	"chr10"	95846315	95846632	"Distal Intergenic"	"Eea1"	-94031	"bCAT_APC"
"261"	"chr10"	95850900	95851204	"Distal Intergenic"	"Eea1"	-89459	"bCAT_APC"
"262"	"chr10"	96308442	96308907	"Distal Intergenic"	"4930459C07Rik"	82235	"bCAT_APC"
"263"	"chr10"	96515307	96515661	"Distal Intergenic"	"Btg1"	-101340	"bCAT_APC"
"264"	"chr10"	96646322	96646771	"Distal Intergenic"	"Btg1"	29321	"bCAT_APC"
"265"	"chr10"	98926702	98927279	"Intron"	"Atp2b1"	11550	"bCAT_APC"
"266"	"chr10"	99047235	99047673	"Distal Intergenic"	"Poc1b"	-59498	"bCAT_APC"
"267"	"chr10"	99229382	99229806	"Distal Intergenic"	"Dusp6"	-33425	"bCAT_APC"
"268"	"chr10"	99842367	99842580	"Distal Intergenic"	"Csl"	-82709	"bCAT_APC"
"269"	"chr10"	102374031	102374300	"Promoter"	"Mgat4c"	-137	"bCAT_APC"
"270"	"chr10"	102616195	102616754	"Distal Intergenic"	"Rassf9"	103973	"bCAT_APC"
"271"	"chr10"	105841245	105841560	"Promoter"	"Mettl25"	0	"bCAT_APC"
"272"	"chr10"	108299623	108300380	"Distal Intergenic"	"Pawr"	-31809	"bCAT_APC"
"273"	"chr10"	108428451	108428763	"Distal Intergenic"	"Pawr"	95763	"bCAT_APC"
"274"	"chr10"	108504644	108504868	"Intron"	"Pawr"	171956	"bCAT_APC"
"275"	"chr10"	110900209	110900513	"Distal Intergenic"	"1700020G17Rik"	-3702	"bCAT_APC"
"276"	"chr10"	110920360	110920718	"Promoter"	"Csrp2"	184	"bCAT_APC"
"277"	"chr10"	111335756	111336241	"Distal Intergenic"	"Bbs10"	37077	"bCAT_APC"
"278"	"chr10"	111521645	111521941	"Distal Intergenic"	"Phlda1"	15359	"bCAT_APC"
"279"	"chr10"	111559045	111559642	"Distal Intergenic"	"4933440J02Rik"	34631	"bCAT_APC"
"280"	"chr10"	111572556	111573088	"Distal Intergenic"	"4933440J02Rik"	21185	"bCAT_APC"
"281"	"chr10"	111576033	111576323	"Distal Intergenic"	"4933440J02Rik"	17950	"bCAT_APC"
"282"	"chr10"	111578522	111579071	"Distal Intergenic"	"4933440J02Rik"	15202	"bCAT_APC"
"283"	"chr10"	111600975	111601412	"Distal Intergenic"	"4933440J02Rik"	-6702	"bCAT_APC"
"284"	"chr10"	111739840	111740436	"Distal Intergenic"	"Gm20758"	133940	"bCAT_APC"
"285"	"chr10"	115123296	115123834	"Intron"	"Tph2"	61188	"bCAT_APC"
"286"	"chr10"	115484491	115485015	"Intron"	"Zfc3h1"	57186	"bCAT_APC"
"287"	"chr10"	115505838	115506182	"Intron"	"A930009A15Rik"	-63804	"bCAT_APC"
"288"	"chr10"	115585659	115587232	"Promoter"	"Lgr5"	548	"bCAT_APC"
