Contrast	Geneid	log2FoldChange	padj	DEG
150832	Cell1 - Cond2 vs Cond3	Gm11694	0.17	NA	NS
172005	Cell2 - Cond1 vs Cond2	Ddx3y	0.11	0.905684485447563	NS
303899	Cell2 - Cond1 vs Cond4	Gm18765	-0.01	NA	NS
4835	Cell1 - Cond1 vs Cond2	Baiap2l1	-0.22	0.288786906719126	NS
197993	Cell2 - Cond1 vs Cond2	mmu-mir-7650	NA	NA	NS
427779	Cell2 - Cond2 vs Cond4	Gm22673	0.02	NA	NS
333485	Cell2 - Cond2 vs Cond3	Dnajc7	-0.73	0.000670034505391256	NS
480193	Cell2 - Cond4 vs Cond3	Gm29696	NA	NA	NS
52410	Cell1 - Cond1 vs Cond2	Gm14731	NA	NA	NS
465456	Cell2 - Cond4 vs Cond3	Gm20362	0	NA	NS
230684	Cell2 - Cond1 vs Cond3	Atp2a3	-0.44	0.296485436434066	NS
303469	Cell2 - Cond1 vs Cond4	Tas2r118	0.05	NA	NS
425725	Cell2 - Cond2 vs Cond4	Gm9945	0.01	NA	NS
190518	Cell2 - Cond1 vs Cond2	Igkv12-38	-0.01	NA	NS
83552	Cell1 - Cond1 vs Cond3	n-R5s164	NA	NA	NS
335099	Cell2 - Cond2 vs Cond3	Dclk2	2.58	0.0147673421130608	Upregulated
420070	Cell2 - Cond2 vs Cond4	Gm23030	0.03	NA	NS
160279	Cell1 - Cond2 vs Cond3	AC103363.1	0.49	NA	NS
216915	Cell2 - Cond1 vs Cond2	AC133509.2	NA	NA	NS
100590	Cell1 - Cond1 vs Cond3	Gm15918	NA	NA	NS
414654	Cell2 - Cond2 vs Cond4	Gm4874	0.07	NA	NS
494241	Cell2 - Cond4 vs Cond3	H2al3	NA	NA	NS
417268	Cell2 - Cond2 vs Cond4	Klk15	-0.02	NA	NS
85247	Cell1 - Cond1 vs Cond3	Vmn1r-ps71	NA	NA	NS
445269	Cell2 - Cond4 vs Cond3	Polh	0.04	0.714132443879628	NS
211226	Cell2 - Cond1 vs Cond2	Gm19235	0	NA	NS
284684	Cell2 - Cond1 vs Cond4	Gm37968	0.49	0.278960643220625	NS
165413	Cell1 - Cond2 vs Cond3	Gm29405	NA	NA	NS
239321	Cell2 - Cond1 vs Cond3	Ifi202b	-0.03	NA	NS
157794	Cell1 - Cond2 vs Cond3	Mir688	NA	NA	NS
381138	Cell2 - Cond2 vs Cond3	n-R5s27	NA	NA	NS
320250	Cell2 - Cond1 vs Cond4	Gm48208	-0.06	NA	NS
243960	Cell2 - Cond1 vs Cond3	Gm19148	0.07	NA	NS
263172	Cell2 - Cond1 vs Cond3	Ighv12-2	0.07	NA	NS
268959	Cell2 - Cond1 vs Cond3	Gm49653	0.01	NA	NS
151876	Cell1 - Cond2 vs Cond3	Gm17195	-0.04	NA	NS
26050	Cell1 - Cond1 vs Cond2	Gm43295	-0.08	NA	NS
390081	Cell2 - Cond2 vs Cond4	Urod	-0.51	0.0292374831405978	NS
179312	Cell2 - Cond1 vs Cond2	Gm13182	-0.01	NA	NS
341934	Cell2 - Cond2 vs Cond3	Itpka	-0.44	0.442452559994359	NS
189416	Cell2 - Cond1 vs Cond2	Gm44221	-0.01	NA	NS
195623	Cell2 - Cond1 vs Cond2	Eef1akmt2	-0.02	NA	NS
394	Cell1 - Cond1 vs Cond2	Syt11	1.41	2.79856568280271e-05	Upregulated
263804	Cell2 - Cond1 vs Cond3	Hist1h2bg	-0.01	NA	NS
372745	Cell2 - Cond2 vs Cond3	Gm9887	0.04	NA	NS
21140	Cell1 - Cond1 vs Cond2	Gm9419	-0.03	NA	NS
198807	Cell2 - Cond1 vs Cond2	Atm	0.09	NA	NS
65452	Cell1 - Cond1 vs Cond3	Gm37184	0.5	0.391663232268944	NS
488610	Cell2 - Cond4 vs Cond3	Pkp2	0.01	NA	NS
347982	Cell2 - Cond2 vs Cond3	A630095N17Rik	0.06	NA	NS
24500	Cell1 - Cond1 vs Cond2	Prr27	0	NA	NS
345387	Cell2 - Cond2 vs Cond3	E2f6	0.14	0.788940717861087	NS
386385	Cell2 - Cond2 vs Cond3	Gm28763	NA	NA	NS
124314	Cell1 - Cond2 vs Cond3	Trp53i13	0.16	0.722772841221712	NS
263941	Cell2 - Cond1 vs Cond3	Serpinb1b	0.03	NA	NS
34792	Cell1 - Cond1 vs Cond2	Gsta2	0.11	NA	NS
26230	Cell1 - Cond1 vs Cond2	Gm43873	-0.03	NA	NS
131025	Cell1 - Cond2 vs Cond3	AV039307	-0.08	NA	NS
372956	Cell2 - Cond2 vs Cond3	Gm26531	0	NA	NS
266938	Cell2 - Cond1 vs Cond3	Gm41225	-0.02	NA	NS
233293	Cell2 - Cond1 vs Cond3	Txndc11	-0.2	0.560749483265745	NS
193405	Cell2 - Cond1 vs Cond2	4930435C17Rik	NA	NA	NS
235682	Cell2 - Cond1 vs Cond3	Mapk6	0.02	0.808686945461779	NS
429340	Cell2 - Cond2 vs Cond4	Vmn1r190-ps	NA	NA	NS
7937	Cell1 - Cond1 vs Cond2	Rspry1	0.13	0.576249571584954	NS
335907	Cell2 - Cond2 vs Cond3	Plcb4	1.31	0.0330596542258562	Upregulated
216466	Cell2 - Cond1 vs Cond2	Tbx10	0	NA	NS
380800	Cell2 - Cond2 vs Cond3	Gm26940	NA	NA	NS
301991	Cell2 - Cond1 vs Cond4	Gm19560	NA	NA	NS
421017	Cell2 - Cond2 vs Cond4	Gm23299	0	NA	NS
470291	Cell2 - Cond4 vs Cond3	4933406I18Rik	0	NA	NS
180009	Cell2 - Cond1 vs Cond2	Gm13428	NA	NA	NS
344318	Cell2 - Cond2 vs Cond3	C230071H17Rik	0.17	0.680774714103078	NS
78214	Cell1 - Cond1 vs Cond3	Gm11813	NA	NA	NS
456973	Cell2 - Cond4 vs Cond3	Gm22480	0	NA	NS
78275	Cell1 - Cond1 vs Cond3	Gm11864	-0.01	NA	NS
187275	Cell2 - Cond1 vs Cond2	5031410I06Rik	0	NA	NS
120193	Cell1 - Cond2 vs Cond3	Scrn1	0.38	0.323152494800353	NS
17058	Cell1 - Cond1 vs Cond2	Olfr3	-0.01	NA	NS
362174	Cell2 - Cond2 vs Cond3	Gm45839	NA	NA	NS
387015	Cell2 - Cond2 vs Cond3	Gm28840	NA	NA	NS
390523	Cell2 - Cond2 vs Cond4	Stx19	1.83	0.0450328496498267	Upregulated
484652	Cell2 - Cond4 vs Cond3	Gm3339	NA	NA	NS
263697	Cell2 - Cond1 vs Cond3	Gm44390	NA	NA	NS
119892	Cell1 - Cond2 vs Cond3	Retsat	-0.28	0.296835885486919	NS
189579	Cell2 - Cond1 vs Cond2	Gm24213	0	NA	NS
22552	Cell1 - Cond1 vs Cond2	Gm26330	NA	NA	NS
341759	Cell2 - Cond2 vs Cond3	Tmem186	-0.25	0.423519343249752	NS
158112	Cell1 - Cond2 vs Cond3	Gm49748	NA	NA	NS
189575	Cell2 - Cond1 vs Cond2	Gm22718	NA	NA	NS
208094	Cell2 - Cond1 vs Cond2	Gm4211	0	NA	NS
34474	Cell1 - Cond1 vs Cond2	Lman1l	-0.03	NA	NS
190884	Cell2 - Cond1 vs Cond2	Gm44388	0	NA	NS
319790	Cell2 - Cond1 vs Cond4	Gm46427	NA	NA	NS
52987	Cell1 - Cond1 vs Cond2	4933401B06Rik	-0.01	NA	NS
408134	Cell2 - Cond2 vs Cond4	Gm37377	0.02	NA	NS
269709	Cell2 - Cond1 vs Cond3	2700054A10Rik	0.2	NA	NS
234106	Cell2 - Cond1 vs Cond3	Slc29a3	0.27	0.651439162162368	NS
68597	Cell1 - Cond1 vs Cond3	2810403D21Rik	-0.07	0.718234805251564	NS
347699	Cell2 - Cond2 vs Cond3	Mir7681	0.03	NA	NS
435734	Cell2 - Cond2 vs Cond4	Casp16-ps	-0.01	NA	NS
222414	Cell2 - Cond1 vs Cond3	Fbxo32	3.17	3.36238090585203e-06	Upregulated
253492	Cell2 - Cond1 vs Cond3	Olfr6	-0.02	NA	NS
31765	Cell1 - Cond1 vs Cond2	Vmn2r-ps88	-0.04	NA	NS
4637	Cell1 - Cond1 vs Cond2	Cth	0.27	0.271309176452221	NS
288143	Cell2 - Cond1 vs Cond4	Gm26909	0.31	0.617597779584679	NS
96408	Cell1 - Cond1 vs Cond3	Acot3	-0.1	NA	NS
226375	Cell2 - Cond1 vs Cond3	Fbxw13	-2.82	0.0341062011798408	Downregulated
399948	Cell2 - Cond2 vs Cond4	Sec11c	-0.04	0.788433122657642	NS
173956	Cell2 - Cond1 vs Cond2	Mlf1	0.03	0.965784869145922	NS
136241	Cell1 - Cond2 vs Cond3	Gm20465	0.04	NA	NS
182295	Cell2 - Cond1 vs Cond2	Rps21	-0.05	NA	NS
115859	Cell1 - Cond2 vs Cond3	Myo6	-0.34	0.0461549217622532	NS
8200	Cell1 - Cond1 vs Cond2	Hnf1aos1	0.18	0.597250017689139	NS
180936	Cell2 - Cond1 vs Cond2	Mir7222	NA	NA	NS
186464	Cell2 - Cond1 vs Cond2	Kdm1a	0.06	NA	NS
100405	Cell1 - Cond1 vs Cond3	4930579G18Rik	-0.08	NA	NS
298782	Cell2 - Cond1 vs Cond4	Gm43350	NA	NA	NS
204120	Cell2 - Cond1 vs Cond2	Gm25889	-0.01	NA	NS
127649	Cell1 - Cond2 vs Cond3	Crygb	-0.03	NA	NS
154764	Cell1 - Cond2 vs Cond3	Gm16440	NA	NA	NS
238076	Cell2 - Cond1 vs Cond3	Gm25524	NA	NA	NS
155182	Cell1 - Cond2 vs Cond3	Gm22469	NA	NA	NS
264362	Cell2 - Cond1 vs Cond3	Spata31d1d	0.05	NA	NS
231349	Cell2 - Cond1 vs Cond3	Dio1	-0.64	0.354276911997711	NS
341542	Cell2 - Cond2 vs Cond3	Nsf	0.19	0.402417781725166	NS
65872	Cell1 - Cond1 vs Cond3	Spag4	0.46	0.441817684374328	NS
183033	Cell2 - Cond1 vs Cond2	Gm37715	NA	NA	NS
172495	Cell2 - Cond1 vs Cond2	Aarsd1	0.03	0.92631244512075	NS
142093	Cell1 - Cond2 vs Cond3	Gm24609	NA	NA	NS
255608	Cell2 - Cond1 vs Cond3	Gm24793	0.08	NA	NS
351112	Cell2 - Cond2 vs Cond3	Gm13885	-0.01	NA	NS
111217	Cell1 - Cond2 vs Cond3	Vps28	-0.93	4.88030270011964e-08	NS
403988	Cell2 - Cond2 vs Cond4	Gm24817	0	NA	NS
345303	Cell2 - Cond2 vs Cond3	Tulp2	0.15	0.779331291678176	NS
285357	Cell2 - Cond1 vs Cond4	Gm26725	0.39	0.335051293687114	NS
169657	Cell2 - Cond1 vs Cond2	Ubn1	-0.22	0.730879914492249	NS
427039	Cell2 - Cond2 vs Cond4	Fn3krp	0.01	NA	NS
484079	Cell2 - Cond4 vs Cond3	Ccnh	-0.02	NA	NS
368188	Cell2 - Cond2 vs Cond3	Cnksr3	0.18	NA	NS
145775	Cell1 - Cond2 vs Cond3	Gm27201	NA	NA	NS
280890	Cell2 - Cond1 vs Cond4	Pacs1	0.75	0.0450047010241965	NS
339709	Cell2 - Cond2 vs Cond3	Tspyl2	0.63	0.241915177486738	NS
192873	Cell2 - Cond1 vs Cond2	Vmn1r-ps85	0	NA	NS
492884	Cell2 - Cond4 vs Cond3	AC118642.2	0	NA	NS
202521	Cell2 - Cond1 vs Cond2	2810471M01Rik	-0.01	NA	NS
405920	Cell2 - Cond2 vs Cond4	Wt1os	0.03	NA	NS
385689	Cell2 - Cond2 vs Cond3	Gm8659	0.13	NA	NS
321286	Cell2 - Cond1 vs Cond4	Gm49190	NA	NA	NS
270511	Cell2 - Cond1 vs Cond3	AC162805.6	-0.02	NA	NS
92215	Cell1 - Cond1 vs Cond3	Gm25526	-0.01	NA	NS
123962	Cell1 - Cond2 vs Cond3	Gm9522	-0.19	0.685950096888613	NS
453850	Cell2 - Cond4 vs Cond3	Gm23369	0	NA	NS
303342	Cell2 - Cond1 vs Cond4	Gm8676	0.04	NA	NS
410572	Cell2 - Cond2 vs Cond4	4933407E24Rik	0.02	NA	NS
278819	Cell2 - Cond1 vs Cond4	Gm36989	1.39	0.00385224710653563	Upregulated
427589	Cell2 - Cond2 vs Cond4	Gm25497	0.02	NA	NS
477220	Cell2 - Cond4 vs Cond3	Gm6763	NA	NA	NS
184203	Cell2 - Cond1 vs Cond2	Gm22575	NA	NA	NS
235854	Cell2 - Cond1 vs Cond3	Tex38	-0.18	0.828623111748151	NS
243964	Cell2 - Cond1 vs Cond3	Gm49316	0.05	NA	NS
496572	Cell2 - Cond4 vs Cond3	Gm28768	NA	NA	NS
356204	Cell2 - Cond2 vs Cond3	Gm13094	0.24	NA	NS
193977	Cell2 - Cond1 vs Cond2	Gm24206	NA	NA	NS
256643	Cell2 - Cond1 vs Cond3	Gm47160	-0.07	NA	NS
266962	Cell2 - Cond1 vs Cond3	Gm48967	0.08	NA	NS
121691	Cell1 - Cond2 vs Cond3	Slirp	-0.31	0.462911203762816	NS
196612	Cell2 - Cond1 vs Cond2	Gm45481	0	NA	NS
477434	Cell2 - Cond4 vs Cond3	Gm33337	NA	NA	NS
247202	Cell2 - Cond1 vs Cond3	Gm16054	-0.22	NA	NS
390141	Cell2 - Cond2 vs Cond4	Far2	-0.42	0.0310793832215836	NS
215872	Cell2 - Cond1 vs Cond2	1700018A14Rik	-0.01	NA	NS
394552	Cell2 - Cond2 vs Cond4	AC154912.3	0.31	0.302592474819547	NS
304959	Cell2 - Cond1 vs Cond4	Gm23527	0.09	NA	NS
329065	Cell2 - Cond1 vs Cond4	Gm14667	0	NA	NS
453178	Cell2 - Cond4 vs Cond3	Gm37027	0	NA	NS
363525	Cell2 - Cond2 vs Cond3	Olfr580-ps1	0.03	NA	NS
423472	Cell2 - Cond2 vs Cond4	Gm6884	0.04	NA	NS
222298	Cell2 - Cond1 vs Cond3	Hemgn	-3.57	9.3075974818315e-07	Downregulated
478780	Cell2 - Cond4 vs Cond3	Gm25819	0	NA	NS
120765	Cell1 - Cond2 vs Cond3	Recql5	-0.25	0.375973368639916	NS
360576	Cell2 - Cond2 vs Cond3	Tas2r105	0.03	NA	NS
128136	Cell1 - Cond2 vs Cond3	Gm28187	0.03	NA	NS
10215	Cell1 - Cond1 vs Cond2	Rfc4	0.07	0.747611679459885	NS
391448	Cell2 - Cond2 vs Cond4	Ammecr1l	0.65	0.0862997714620529	NS
214896	Cell2 - Cond1 vs Cond2	Nudt12os	-0.01	NA	NS
61662	Cell1 - Cond1 vs Cond3	B9d2	0.55	0.0862537319886744	NS
307536	Cell2 - Cond1 vs Cond4	Gm25944	NA	NA	NS
66517	Cell1 - Cond1 vs Cond3	Pcdh19	0.35	0.503702881553598	NS
165476	Cell1 - Cond2 vs Cond3	Gm29206	NA	NA	NS
126573	Cell1 - Cond2 vs Cond3	Gm14540	0.03	0.957782522660213	NS
485190	Cell2 - Cond4 vs Cond3	Gm49032	NA	NA	NS
157447	Cell1 - Cond2 vs Cond3	Gm27331	NA	NA	NS
433496	Cell2 - Cond2 vs Cond4	Gm30159	-0.01	NA	NS
197066	Cell2 - Cond1 vs Cond2	Gm7997	-0.02	NA	NS
279029	Cell2 - Cond1 vs Cond4	E230001N04Rik	5.53	0.00574553709597878	Upregulated
478146	Cell2 - Cond4 vs Cond3	4930555O08Rik	0	NA	NS
403926	Cell2 - Cond2 vs Cond4	Fcrlb	0.03	NA	NS
141901	Cell1 - Cond2 vs Cond3	Gm9367	0.23	NA	NS
488315	Cell2 - Cond4 vs Cond3	Krt6b	0	NA	NS
41236	Cell1 - Cond1 vs Cond2	Ighv2-6-8	NA	NA	NS
265776	Cell2 - Cond1 vs Cond3	Gm22469	-0.06	NA	NS
89244	Cell1 - Cond1 vs Cond3	Sall1	-0.07	NA	NS
290709	Cell2 - Cond1 vs Cond4	Yeats4	0.04	0.869101764798042	NS
275735	Cell2 - Cond1 vs Cond3	Gm29653	NA	NA	NS
357539	Cell2 - Cond2 vs Cond3	4930467D21Rik	0.02	NA	NS
409955	Cell2 - Cond2 vs Cond4	Gm11765	0.06	NA	NS
36467	Cell1 - Cond1 vs Cond2	Phyhipl	-0.02	NA	NS
